Designator,Mid X,Mid Y,Rotation,Layer
C1,73.5751,-63.69,180.0,bottom
C2,62.12,-55.7,90.0,top
C3,78.5951,-67.97,180.0,bottom
C4,73.06,-32.57,270.0,top
C5,75.92,-16.105,270.0,top
C7,69.3,-43.2,180.0,top
D10,80.83,-12.65,90.0,top
D11,78.24,-12.61,90.0,top
D12,75.62,-12.59,90.0,top
D13,72.83,-12.62,90.0,top
D14,70.09,-12.59,90.0,top
D15,67.46,-12.62,90.0,top
D16,64.82,-12.71,90.0,top
D17,62.22,-12.71,90.0,top
D18,62.2,-73.01,180.0,top
D19,65.87,-73.03,0.0,top
D20,79.33,-40.02,90.0,top
D21,58.99,-31.11,180.0,top
D22,59.56,-43.21,270.0,top
D6,85.37,-39.98,90.0,top
D7,53.82,-43.19,270.0,top
D8,86.51,-12.76,90.0,top
D9,83.64,-12.72,90.0,top
J11,52.11,-58.9,90.0,top
J12,51.95,-77.18,90.0,top
J13,52.65,-97.98,90.0,top
J5,60.19,-65.98,180.0,bottom
J7,63.34,-2.0,90.0,top
Q1,66.89,-85.21,0.0,top
Q2,74.13,-92.18,0.0,top
Q3,74.4,-85.21,0.0,top
Q4,81.57,-92.11,0.0,top
Q5,81.72,-85.21,0.0,top
Q6,66.77,-90.8,0.0,top
R1,66.69,-39.98,90.0,top
R10,82.21,-39.93,90.0,top
R11,59.19,-91.1,180.0,top
R12,59.33,-94.24,180.0,top
R14,59.0,-28.12,180.0,top
R15,62.42,-50.74,90.0,top
R17,84.63,-29.22,90.0,top
R18,76.38,-32.48,270.0,top
R19,86.54,-18.56,180.0,top
R2,69.75,-32.35,270.0,top
R20,78.95,-15.47,0.0,top
R21,56.71,-43.21,270.0,top
R23,82.6,-72.57,270.0,top
R24,79.53,-72.6,270.0,top
R25,85.6,-72.62,270.0,top
R26,85.77,-62.33,270.0,top
R27,82.76,-62.23,270.0,top
R3,59.0,-24.95,180.0,top
R33,62.03,-15.88,0.0,top
R38,59.08,-34.02,180.0,top
R39,63.91,-91.66,90.0,top
R4,51.45,-21.68,0.0,top
R5,59.01,-18.53,180.0,top
R6,59.21,-81.97,180.0,top
R7,63.97,-94.63,0.0,top
R8,59.2,-85.02,180.0,top
R9,59.19,-88.05,180.0,top
RV1,55.16,-5.52,0.0,bottom
RV7,55.14,-11.26,0.0,bottom
RV8,55.18,-16.71,0.0,bottom
U1,68.08,-54.52,90.0,top
U2,64.885,-29.47,90.0,top
